video_names,starting_frame,frame_distance,end_frame
x10y10trial1_depth_gray.mp4,30,60,1125
x10y10trial2_depth_gray.mp4,35,60,990
x10y10trial3_depth_gray.mp4,30,60,990
x10y10trial4_depth_gray.mp4,35,60,990
x10y10trial5_depth_gray.mp4,35,60,990
x10y10trial6_depth_gray.mp4,45,60,990
x10y10trial7_depth_gray.mp4,40,60,990
x10y10trial8_depth_gray.mp4,75,60,1050
x10y10trial9_depth_gray.mp4,35,60,990
x10y10trial10_depth_gray.mp4,35,60,990
x10y10trial11_depth_gray.mp4,45,60,990
x10y10trial12_depth_gray.mp4,30,60,990
x10y10trial13_depth_gray.mp4,45,60,990
x10y10trial14_depth_gray.mp4,45,60,990
x10y10trial15_depth_gray.mp4,35,60,990
x10y10trial16_depth_gray.mp4,30,60,660
x10y10trial17_depth_gray.mp4,45,60,990
x10y10trial18_depth_gray.mp4,30,60,930
x10y10trial19_depth_gray.mp4,45,60,795
x10y10trial20_depth_gray.mp4,30,60,705
x10y10trial21_depth_gray.mp4,50,60,855
x10y10trial22_depth_gray.mp4,35,60,780
x10y10trial23_depth_gray.mp4,35,60,795
x10y10trial24_depth_gray.mp4,35,60,780
x10y10trial25_depth_gray.mp4,30,60,780
x10y10trial26_depth_gray.mp4,45,60,825
x10y10trial27_depth_gray.mp4,40,60,780
x10y10trial28_depth_gray.mp4,45,60,795
x10y10trial29_depth_gray.mp4,35,60,990
x10y10trial30_depth_gray.mp4,35,60,990
x10y10trial31_depth_gray.mp4,30,60,990
x10y10trial32_depth_gray.mp4,35,60,990
x10y10trial33_depth_gray.mp4,60,60,1035
x10y10trial34_depth_gray.mp4,35,60,930
x10y10trial35_depth_gray.mp4,35,60,990
x10y10trial36_depth_gray.mp4,35,60,660
x10y10trial37_depth_gray.mp4,35,60,660
x10y10trial38_depth_gray.mp4,40,60,660
x10y10trial39_depth_gray.mp4,35,60,660
x10y10trial40_depth_gray.mp4,35,60,660
x10y10trial41_depth_gray.mp4,45,60,675
x10y10trial42_depth_gray.mp4,35,60,660
x10y10trial43_depth_gray.mp4,35,60,660
x10y10trial44_depth_gray.mp4,25,60,660
x10y10trial45_depth_gray.mp4,20,60,660
x10y10trial46_depth_gray.mp4,45,60,675
x10y10trial47_depth_gray.mp4,35,60,660
x10y10trial48_depth_gray.mp4,35,60,660
x10y10trial49_depth_gray.mp4,35,60,660
x10y10trial50_depth_gray.mp4,45,60,675
x10y10trial51_depth_gray.mp4,20,60,660
x10y10trial52_depth_gray.mp4,45,60,660
x10y10trial53_depth_gray.mp4,35,60,660
x10y10trial54_depth_gray.mp4,150,60,750
x10y10trial55_depth_gray.mp4,30,60,660
demo.mp4,3555,90,6240
