video_names,starting_frame,frame_distance,end_frame,
x10y20trial1_depth_gray.mp4,195,45,425,
x10y20trial2_depth_gray.mp4,20,45,210,
x10y20trial3_depth_gray.mp4,1,45,1230,
x10y20trial4_depth_gray.mp4,1,45,315,
x10y20trial5_depth_gray.mp4,10,45,1560,
x10y20trial6_depth_gray.mp4,5,45,705,
x10y20trial7_depth_gray.mp4,20,45,345,
x10y20trial8_depth_gray.mp4,10,45,1050,
x10y20trial9_depth_gray.mp4,15,45,975,
x10y20trial10_depth_gray.mp4,10,45,600,
x10y20trial11_depth_gray.mp4,1,45,510,
x10y20trial12_depth_gray.mp4,1,45,630,
x10y20trial13_depth_gray.mp4,10,45,675,
x10y20trial14_depth_gray.mp4,5,45,420,
x10y20trial15_depth_gray.mp4,30,45,855,
x10y20trial16_depth_gray.mp4,15,45,345,
x10y20trial17_depth_gray.mp4,15,45,1050,
x10y20trial18_depth_gray.mp4,60,45,855,
x10y20trial19_depth_gray.mp4,15,45,375,
x10y20trial20_depth_gray.mp4,30,45,690,
x10y20trial21_depth_gray.mp4,30,45,585,
x10y20trial22_depth_gray.mp4,10,45,555,
x10y20trial23_depth_gray.mp4,15,45,195,
x10y20trial24_depth_gray.mp4,15,45,840,
x10y20trial25_depth_gray.mp4,10,45,300,
x10y20trial26_depth_gray.mp4,10,45,795,
x10y20trial27_depth_gray.mp4,15,45,1110,
x10y20trial28_depth_gray.mp4,150,45,510,
x10y20trial29_depth_gray.mp4,15,45,195,
x10y20trial30_depth_gray.mp4,15,45,795,
x10y20trial31_depth_gray.mp4,45,45,780,
x10y20trial32_depth_gray.mp4,10,45,630,
x10y20trial33_depth_gray.mp4,10,45,750,
x10y20trial34_depth_gray.mp4,10,45,675,
x10y20trial35_depth_gray.mp4,30,45,945,
x10y20trial36_depth_gray.mp4,15,45,615,
x10y20trial37_depth_gray.mp4,15,45,510,
x10y20trial38_depth_gray.mp4,10,45,600,
x10y20trial39_depth_gray.mp4,10,45,975,
x10y20trial40_depth_gray.mp4,15,45,315,
x10y20trial41_depth_gray.mp4,15,45,615,
x10y20trial42_depth_gray.mp4,10,45,330,
x10y20trial43_depth_gray.mp4,10,45,705,
x10y20trial44_depth_gray.mp4,10,45,1065,
x10y20trial45_depth_gray.mp4,15,45,360,
x10y20trial46_depth_gray.mp4,15,45,870,
x10y20trial47_depth_gray.mp4,5,45,840,
x10y20trial48_depth_gray.mp4,5,45,840,
x10y20trial49_depth_gray.mp4,10,45,870,
x10y20trial50_depth_gray.mp4,1,45,870,
x10y20trial51_depth_gray.mp4,1,45,360,
x10y20trial52_depth_gray.mp4,1,45,510,
x10y20trial53_depth_gray.mp4,1,45,540,
x10y20trial54_depth_gray.mp4,15,45,645,
x10y20trial55_depth_gray.mp4,5,45,870,
x10y20trial56_depth_gray.mp4,10,45,870,
x10y20trial57_depth_gray.mp4,60,45,945,
x10y20trial58_depth_gray.mp4,45,45,525,
x10y20trial59_depth_gray.mp4,60,45,1305,
x10y20trial60_depth_gray.mp4,5,45,375,
x10y20trial61_depth_gray.mp4,20,45,650,start degree changes
x10y20trial62_depth_gray.mp4,15,45,960,
x10y20trial63_depth_gray.mp4,1,45,520,
x10y20trial64_depth_gray.mp4,1,45,780,
x10y20trial65_depth_gray.mp4,1,45,450,
x10y20trial66_depth_gray.mp4,1,45,450,
x10y20trial67_depth_gray.mp4,1,45,345,
x10y20trial68_depth_gray.mp4,1,45,615,
x10y20trial69_depth_gray.mp4,10,45,260,
x10y20trial70_depth_gray.mp4,10,45,585,
x10y20trial71_depth_gray.mp4,1,45,900,
x10y20trial72_depth_gray.mp4,1,45,195,
x10y20trial73_depth_gray.mp4,1,45,345,
x10y20trial74_depth_gray.mp4,1,45,420,
x10y20trial75_depth_gray.mp4,1,45,405,
x10y20trial76_depth_gray.mp4,1,45,525,
x10y20trial77_depth_gray.mp4,1,45,180,
x10y20trial78_depth_gray.mp4,1,45,345,
x10y20trial79_depth_gray.mp4,1,45,1,
x10y20trial81_depth_gray.mp4,1,45,780,
x10y20trial82_depth_gray.mp4,15,45,540,
x10y20trial83_depth_gray.mp4,5,45,480,
x10y20trial84_depth_gray.mp4,10,45,900,
x10y20trial85_depth_gray.mp4,15,45,1095,
x10y20trial86_depth_gray.mp4,60,45,1065,
x10y20trial87_depth_gray.mp4,15,45,675,
x10y20trial88_depth_gray.mp4,15,45,960,
x10y20trial89_depth_gray.mp4,30,45,585,
x10y20trial90_depth_gray.mp4,15,45,660,
x10y20trial91_depth_gray.mp4,10,45,570,
x10y20trial92_depth_gray.mp4,15,45,1050,
x10y20trial93_depth_gray.mp4,15,45,510,
x10y20trial94_depth_gray.mp4,10,45,390,
x10y20trial95_depth_gray.mp4,30,45,870,
x10y20trial96_depth_gray.mp4,5,45,180,
x10y20trial97_depth_gray.mp4,30,45,390,
x10y20trial98_depth_gray.mp4,10,45,450,
x10y20trial99_depth_gray.mp4,60,45,285,
x10y20trial100_depth_gray.mp4,1,45,1350,
x10y20trial101_depth_gray.mp4,15,45,975,
x10y20trial102_depth_gray.mp4,15,45,1530,
x10y20trial103_depth_gray.mp4,30,45,1155,
x10y20trial104_depth_gray.mp4,60,45,675,
x10y20trial105_depth_gray.mp4,30,45,660,
x10y20trial106_depth_gray.mp4,15,45,570,
x10y20trial107_depth_gray.mp4,5,45,660,
x10y20trial108_depth_gray.mp4,10,45,555,
x10y20trial109_depth_gray.mp4,10,45,525,
x10y20trial110_depth_gray.mp4,10,45,870,
x10y20trial111_depth_gray.mp4,20,45,720,
x10y20trial112_depth_gray.mp4,75,45,630,
x10y20trial113_depth_gray.mp4,45,45,600,
x10y20trial114_depth_gray.mp4,15,45,450,
x10y20trial115_depth_gray.mp4,30,45,765,
x10y20trial116_depth_gray.mp4,80,45,780,
x10y20trial117_depth_gray.mp4,10,45,870,
x10y20trial118_depth_gray.mp4,30,45,780,
x10y20trial119_depth_gray.mp4,10,45,840,
x10y20trial120_depth_gray.mp4,15,45,660,start 15 degree
x10y20trial121_depth_gray.mp4,25,45,225,
x10y20trial122_depth_gray.mp4,60,45,510,
x10y20trial123_depth_gray.mp4,60,45,780,
x10y20trial124_depth_gray.mp4,50,45,630,
x10y20trial125_depth_gray.mp4,45,45,345,
x10y20trial126_depth_gray.mp4,30,45,465,
x10y20trial127_depth_gray.mp4,30,45,795,
x10y20trial128_depth_gray.mp4,30,45,180,
x10y20trial129_depth_gray.mp4,30,45,345,
x10y20trial130_depth_gray.mp4,30,45,990,
x10y20trial131_depth_gray.mp4,20,45,750,
x10y20trial132_depth_gray.mp4,20,45,375,
x10y20trial133_depth_gray.mp4,45,45,315,
x10y20trial134_depth_gray.mp4,30,45,990,
x10y20trial135_depth_gray.mp4,45,45,585,
x10y20trial136_depth_gray.mp4,60,45,885,
x10y20trial137_depth_gray.mp4,35,45,420,
x10y20trial138_depth_gray.mp4,20,45,645,
x10y20trial139_depth_gray.mp4,30,45,300,
x10y20trial140_depth_gray.mp4,20,45,705,
x10y20trial141_depth_gray.mp4,20,45,975,
x10y20trial142_depth_gray.mp4,20,45,780,
x10y20trial143_depth_gray.mp4,15,45,945,
x10y20trial144_depth_gray.mp4,15,45,1200,
x10y20trial145_depth_gray.mp4,50,45,1110,
x10y20trial146_depth_gray.mp4,20,45,600,
x10y20trial147_depth_gray.mp4,20,45,975,
x10y20trial148_depth_gray.mp4,20,45,255,
x10y20trial149_depth_gray.mp4,20,45,1020,
x10y20trial150_depth_gray.mp4,20,45,615,
x10y20trial151_depth_gray.mp4,35,45,720,
x10y20trial152_depth_gray.mp4,35,45,525,
x10y20trial153_depth_gray.mp4,45,45,435,
x10y20trial154_depth_gray.mp4,35,45,480,
x10y20trial155_depth_gray.mp4,25,45,615,
x10y20trial156_depth_gray.mp4,35,45,480,
x10y20trial157_depth_gray.mp4,35,45,570,
x10y20trial158_depth_gray.mp4,35,45,435,
x10y20trial159_depth_gray.mp4,30,45,705,
x10y20trial160_depth_gray.mp4,20,45,375,
x10y20trial161_depth_gray.mp4,25,45,915,
x10y20trial162_depth_gray.mp4,25,45,765,
x10y20trial163_depth_gray.mp4,30,45,555,
x10y20trial164_depth_gray.mp4,25,45,660,
x10y20trial165_depth_gray.mp4,20,45,1050,
x10y20trial166_depth_gray.mp4,30,45,570,
x10y20trial167_depth_gray.mp4,20,45,705,
x10y20trial168_depth_gray.mp4,20,45,1110,
x10y20trial169_depth_gray.mp4,25,45,555,
x10y20trial170_depth_gray.mp4,20,45,1395,
x10y20trial171_depth_gray.mp4,80,45,900,
x10y20trial172_depth_gray.mp4,20,45,840,
x10y20trial173_depth_gray.mp4,30,45,555,
x10y20trial174_depth_gray.mp4,30,45,810,
x10y20trial175_depth_gray.mp4,30,45,765,
x10y20trial176_depth_gray.mp4,20,45,885,
x10y20trial177_depth_gray.mp4,35,45,765,
x10y20trial178_depth_gray.mp4,15,45,450,
x10y20trial179_depth_gray.mp4,35,45,615,
x10y20trial180_depth_gray.mp4,20,45,705,
